year,source,predicted_mln_m3
2024,tap_water_total_use_of_tap_water_mln m3,1101.2000000000262
2025,tap_water_total_use_of_tap_water_mln m3,1067.600000000035
2026,tap_water_total_use_of_tap_water_mln m3,1034.0000000000437
2027,tap_water_total_use_of_tap_water_mln m3,1000.4000000000378
2028,tap_water_total_use_of_tap_water_mln m3,966.8000000000466
2024,groundwater_total_use_of_groundwater_mln m3,996.8999999999796
2025,groundwater_total_use_of_groundwater_mln m3,964.2299999999668
2026,groundwater_total_use_of_groundwater_mln m3,931.559999999954
2027,groundwater_total_use_of_groundwater_mln m3,898.8899999999558
2028,groundwater_total_use_of_groundwater_mln m3,866.219999999943
2024,surface_water_total_use_of_surface_water_mln m3,11923.299999999814
2025,surface_water_total_use_of_surface_water_mln m3,11514.3199999996
2026,surface_water_total_use_of_surface_water_mln m3,11105.339999999502
2027,surface_water_total_use_of_surface_water_mln m3,10696.359999999288
2028,surface_water_total_use_of_surface_water_mln m3,10287.379999999073
